AccessionVersion	TaxSuperkingdom	TaxPhylum	TaxClass	TaxOrder	TaxFamily	TaxGenus	TaxSpecies	Topology	MOB_60	MPF	PFinder_80	CARD_80	Filtered	Size	PTU_Curated	HRange_Curated	CComp	BlockCC_old	BlockCC4_old	sHSBM_old	PTU_sHSBM_old	BlockCC	BlockCC4	sHSBM	PTU_sHSBM	HRange
NZ_CP020060.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	IncX1	AAC(6')-Ib7;TEM-181;aadA2;dfrA12;mefB;qacEdelta1;sul1;sul3;tet(A)	No	50999	-	-	1	1_0_5_9_11_21_29_8_68_147_74_7	-	-	-	0_4_6_5_17_21_17_39_144_4	-	-	-	-
NZ_CP020001.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus	circular	-	-	-	-	No	5920	-	-	1145	-	-	-	-	0_5_1_6_5_25_5_3_605_3	-	-	-	-
NZ_CP020049.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	IncA/C2	AAC(6')-Ib10;AAC(6')-Ib7;CMY-59;NDM-1;determinant;qacEdelta1;rmtC;sul1	No	141885	PTU-C	V	1	1_0_5_9_11_2_30_21_41_173_38_0	1_0_5_9_11_2_30_21_41_173_38_0	1_0_5_9_11_2_30_21_41_173_345_0	PTU-C	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	PTU-C	V
NZ_CP020050.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBP	typeI	IncFII(pKPX1)	-	No	113431	PTU-E25	III	1	1_0_5_9_11_2_27_16_4_88_223_0	1_0_5_9_11_2_27_16_4_88_223_0	1_0_5_9_11_2_27_16_4_88_223_0	PTU-E25	0_4_6_5_17_22_35_189_446_0	0_4_6_5_17_22_35_189_446_0	0_4_6_5_17_22_35_189_446_0	PTU-E25	III
NZ_CP020103.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	circular	-	-	-	-	No	84215	PTU-Bac38	II	449	1_0_5_9_7_3_17_42_39_92_354_0	1_0_5_9_7_3_17_42_39_92_354_0	1_0_5_9_7_3_17_42_39_92_354_0	PTU-Bac38	0_5_1_11_11_23_30_187_4_3	0_5_1_11_11_23_30_187_4_3	0_5_1_11_11_23_30_187_4_3	PTU-Bac38	II
NZ_CP020051.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	-	-	No	91291	PTU-E44	III	1	1_0_5_9_11_2_27_16_4_88_477_0	1_0_5_9_11_2_27_16_4_88_477_0	1_0_5_9_11_2_27_16_4_88_477_0	PTU-E44	0_4_6_5_17_22_35_189_446_0	0_4_6_5_17_22_35_189_446_0	0_4_6_5_17_22_35_189_446_0	PTU-E25	III
NZ_CP020056.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBH	typeF	IncA/C2	AAC(6')-Ib10;AAC(6')-Ib7;CMY-59;NDM-1;determinant;qacEdelta1;sul1	No	136975	PTU-C	V	1	1_0_5_9_11_2_30_21_41_173_38_0	1_0_5_9_11_2_30_21_41_173_38_0	1_0_5_9_11_2_30_21_41_173_345_0	PTU-C	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	0_4_6_5_14_7_26_149_47_0	PTU-C	V
NZ_CP020057.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	IncFII(29)	APH(3'')-Ib;APH(6)-Id;TEM-181;TEM-181;dfrA8;sul2;tet(A)	No	31196	-	-	111	-	-	-	-	0_5_1_11_11_13_48_19_117_0	-	-	-	-
NZ_CP020117.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	-	Col156;IncFIA;IncFII(pRSB107)	AAC(6')-Ib7;APH(3'')-Ib;APH(6)-Id;TEM-181;aadA5;dfrA17;mphA;qacEdelta1;sul1;sul2;tet(A)	No	107210	PTU-FE	III	1	1_0_5_9_11_21_13_19_36_50_494_0	1_0_5_9_11_21_13_19_36_50_494_0	1_0_5_9_11_21_13_19_36_124_115_0	PTU-FE	0_4_6_5_14_7_13_162_123_0	0_4_6_5_14_7_13_162_123_0	0_4_6_5_14_7_13_158_138_0	PTU-FE	III
NZ_CP020118.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	-	-	IncFIB(pLF82)	-	No	111212	PTU-E16	I	1	1_0_5_9_7_10_24_22_15_64_165_0	1_0_5_9_7_10_24_22_15_64_165_0	1_0_5_9_7_10_24_22_15_64_165_0	PTU-E16	0_4_6_5_14_26_40_101_67_0	0_4_6_5_14_26_40_101_67_0	0_4_6_5_14_26_40_101_67_0	PTU-E16	I
NZ_CP020119.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	-	IncN	AAC(6')-Ib7;APH(3')-Ia;KPC-4;TEM-181;dfrA14	No	51515	PTU-N1	III	1	1_0_5_5_6_17_11_47_55_37_88_0	1_0_5_5_6_17_11_47_55_37_88_0	1_0_5_5_6_17_11_47_55_0_87_0	PTU-N1	0_4_6_5_7_10_65_2_135_0	0_4_6_5_7_10_65_2_135_0	0_4_6_5_7_10_65_2_134_0	PTU-N1	IV
NC_020985.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7500	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NZ_CP020068.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBH	-	IncFIB(Mar);IncHI1B	AAC(3)-IId;AAC(6')-Ib7;APH(3'')-Ib;APH(3')-VI;APH(6)-Id;NDM-1;SHV-187;aadA2;armA;determinant;dfrA12;mphE;msrE;qacEdelta1;sul1;sul2	No	276460	PTU-HI1B	III	1	1_0_5_9_11_2_27_33_6_175_486_0	1_0_5_9_11_2_27_33_6_175_486_0	1_0_5_9_11_2_27_33_6_175_475_0	PTU-HI1B	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	0_4_6_5_7_10_24_177_187_0	PTU-HI1B	III
NZ_CP020069.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIB(K);IncFII(K)	catI	No	213013	PTU-FK1	II	1	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	PTU-FK1	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
NZ_CP020070.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncR	AAC(6')-Ib10;ANT(3'')-IIa;CTX-M-15;OXA-9;TEM-181;TEM-181	No	37875	PTU-R	-	1	1_0_5_9_11_2_27_33_56_9_309_0	-	-	-	0_4_6_5_7_10_39_95_326_0	0_4_6_5_7_10_39_95_326_0	0_4_6_5_7_10_24_177_94_0	PTU-R	I
NC_020957.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7415	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NZ_CP020062.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIB(K);IncFII(K)	AAC(6')-Ib7;ANT(2'')-Ia;SHV-5;catB3;dfrA19;qacEdelta1;sul1	No	152697	PTU-FK1	-	1	1_0_5_9_11_2_27_16_4_88_371_2	-	-	-	0_4_6_5_17_22_35_189_128_2	-	-	-	-
NZ_CP020063.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncFIB(pKPHS1)	-	No	109019	PTU-E15	I	1	1_0_5_9_11_2_30_3_21_178_291_0	1_0_5_9_11_2_30_3_21_178_291_0	1_0_5_9_11_2_30_3_21_178_291_0	PTU-E15	0_4_6_5_14_1_38_0_577_0	0_4_6_5_14_1_38_0_577_0	0_4_6_5_14_1_38_0_577_0	PTU-E15	II
NZ_CP020064.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	typeF	IncFII(Y)	AAC(6')-30/AAC(6')-Ib';AAC(6')-Ib9;ANT(3'')-IIa;OXA-9;TEM-181;TEM-181	No	83376	PTU-E42	I	1	1_0_5_9_11_2_27_33_6_155_157_0	1_0_5_9_11_2_27_33_6_155_157_0	1_0_5_9_11_2_27_33_6_155_157_0	PTU-E42	0_4_6_5_7_10_39_93_322_0	0_4_6_5_7_10_39_93_322_0	0_4_6_5_7_10_39_93_322_0	PTU-E42	I
NZ_CP020065.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIA(HI1);IncFII(K)	-	No	74540	-	-	1	1_0_5_9_11_2_27_33_6_155_483_0	1_0_5_9_11_2_27_33_6_155_483_0	1_0_5_9_11_2_27_33_6_155_483_0	PTU-483_0	0_4_6_5_7_10_39_93_322_0	0_4_6_5_7_10_39_93_322_0	0_4_6_5_7_10_39_93_322_0	PTU-E42	I
NZ_CP020066.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBC;MOBF	-	ColRNAI;IncN	AAC(6')-Ib10;AAC(6')-Ib7;ANT(3'')-IIa;KPC-3;TEM-181;TEM-181;dfrA14	No	72663	-	-	1	1_0_5_5_6_20_16_25_1_17_503_0	-	-	-	0_4_6_5_7_10_65_2_343_0	-	-	-	-
NC_020956.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7473	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NZ_CP020072.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBF	-	IncFIB(K);IncFII(K)	AAC(6')-Ib7;APH(3')-Ia;aadA2;catI;dfrA12;mphA;qacEdelta1;sul1	No	209424	PTU-FK1	II	1	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	PTU-FK1	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
NZ_CP020073.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncR	AAC(3)-IV;AAC(6')-Ib7;ANT(3'')-IIa;APH(4)-Ia;aadA2;cmlA1;mefB;qacH;sul3	No	39762	-	-	1	1_0_5_9_11_2_27_33_56_193_277_0	1_0_5_9_11_2_27_33_56_193_277_0	1_0_5_9_11_2_27_33_56_193_277_0	PTU-277_0	0_4_6_5_7_10_39_95_419_0	0_4_6_5_7_10_39_95_419_0	0_4_6_5_7_10_39_95_394_0	PTU-E56	III
NZ_CP020074.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBP	typeT	IncX3	SHV-66	No	43380	PTU-X3	III	1	1_0_5_9_11_2_27_6_40_56_166_0	1_0_5_9_11_2_27_6_40_56_166_0	1_0_5_9_11_2_27_6_40_56_166_0	PTU-X3	0_4_6_5_17_22_31_69_424_0	0_4_6_5_17_22_31_69_424_0	0_4_6_5_17_22_31_69_424_0	PTU-X3	III
NZ_CP020075.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBC	-	ColRNAI	KPC-3;TEM-181	No	22062	-	-	1	1_0_5_5_6_20_8_40_65_84_133_0	1_0_5_5_6_20_8_40_65_84_133_0	1_0_5_5_6_20_8_40_65_84_133_0	PTU-133_0	0_4_6_5_7_3_29_121_233_0	0_4_6_5_7_3_29_121_233_0	0_4_6_5_7_10_24_20_750_0	PTU-E8	IV
NZ_CP020109.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncFIB(K);IncFII(K)	AAC(6')-Ib7;aadA2;catI;dfrA12;mphA;qacEdelta1;sul1	No	169952	PTU-FK1	II	1	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	1_0_5_9_11_2_27_16_4_40_137_0	PTU-FK1	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_54_412_0	0_4_6_5_17_22_35_153_185_0	PTU-FK	III
NZ_CP020110.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	IncR	AAC(3)-IV;AAC(6')-Ib10;AAC(6')-Ib7;ANT(3'')-IIa;ANT(3'')-IIa;APH(4)-Ia;KPC-1;OXA-9;TEM-181;TEM-181;TEM-181;aadA2;aadA25;cmlA1;mefB;qacH;sul3	No	73467	-	-	1	1_0_5_9_11_2_27_33_56_193_300_0	1_0_5_9_11_2_27_33_56_193_300_0	1_0_5_9_11_2_27_33_56_193_277_0	PTU-277_0	0_4_6_5_7_10_39_95_394_0	0_4_6_5_7_10_39_95_394_0	0_4_6_5_7_10_39_95_394_0	PTU-E56	III
NZ_CP020111.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBP	typeT	IncX3	SHV-66	No	43381	PTU-X3	III	1	1_0_5_9_11_2_27_6_40_56_166_0	1_0_5_9_11_2_27_6_40_56_166_0	1_0_5_9_11_2_27_6_40_56_166_0	PTU-X3	0_4_6_5_17_22_31_69_424_0	0_4_6_5_17_22_31_69_424_0	0_4_6_5_17_22_31_69_424_0	PTU-X3	III
NZ_CP020112.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	MOBC	-	ColRNAI	AAC(6')-Ib10;ANT(3'')-IIa;TEM-181;TEM-181	No	13841	PTU-E4	III	1	1_0_5_9_11_2_27_6_35_61_16_0	1_0_5_9_11_2_27_6_35_61_16_0	1_0_5_9_11_2_27_6_35_61_16_0	PTU-E4	0_4_6_5_17_22_31_35_19_0	0_4_6_5_17_22_31_35_19_0	0_4_6_5_17_22_31_35_19_0	PTU-E4	III
NC_018141.1	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	circular	MOBF	typeF	-	OXA-29	No	150432	-	-	1146	-	-	-	-	0_4_5_9_15_15_10_12_714_2	-	-	-	-
NC_020522.1	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	circular	MOBP	typeT	-	-	No	73490	-	-	1147	-	-	-	-	0_5_1_11_2_20_1_129_87_4	-	-	-	-
NC_020556.1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	circular	-	-	-	-	No	4158	-	-	279	1_5_6_10_3_16_25_41_57_113_169_0	1_5_6_10_3_16_25_41_57_113_169_0	1_5_6_10_3_16_25_41_57_113_169_0	PTU-Cam2	0_4_5_9_15_15_11_23_356_0	0_4_5_9_15_15_11_23_356_0	0_4_5_9_15_15_11_23_356_0	PTU-Cam2	II
NC_020208.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	circular	MOBM;MOBP	-	rep1;repUS15	-	No	214319	PTU-Lab18	II	1	1_5_6_10_3_16_25_27_85_137_281_1	-	-	-	0_4_5_9_15_12_43_186_469_2	-	-	-	-
NC_020212.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia marcescens	circular	-	-	-	-	No	3248	-	-	430	-	-	-	-	0_5_1_11_2_27_0_38_662_1	-	-	-	-
NC_009595.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	circular	-	-	IncFII(Y)	-	No	70305	PTU-E2	II	1	1_0_5_9_7_10_24_22_22_108_32_0	1_0_5_9_7_10_24_22_22_108_32_0	1_0_5_9_7_10_24_22_22_108_32_0	PTU-E2	0_4_6_5_17_9_16_165_160_0	0_4_6_5_17_9_16_165_160_0	0_4_6_5_17_9_16_165_160_0	PTU-E2	II
NC_009596.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	circular	-	-	IncFIB(pHCM2)	-	No	96210	PTU-FY	IV	1	1_0_5_9_7_10_24_22_22_90_8_0	1_0_5_9_7_10_24_22_22_90_8_0	1_0_5_9_7_10_24_22_22_90_323_0	PTU-FY	0_4_6_5_17_9_16_36_35_0	0_4_6_5_17_9_16_36_35_0	0_4_6_5_17_9_16_36_35_0	PTU-FY	I
NC_017565.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	circular	-	-	IncFII(Y)	-	No	72460	PTU-E2	II	1	1_0_5_9_7_10_24_22_22_108_32_0	1_0_5_9_7_10_24_22_22_108_32_0	1_0_5_9_7_10_24_22_22_108_32_0	PTU-E2	0_4_6_5_17_9_16_165_160_0	0_4_6_5_17_9_16_165_160_0	0_4_6_5_17_9_16_165_160_0	PTU-E2	II
NC_021051.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7499	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_021049.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7499	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020958.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7492	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020987.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7502	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020979.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7502	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_018653.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	circular	MOBP	-	-	-	No	47689	-	-	827	1_0_5_9_7_3_9_37_80_111_82_0	-	-	-	0_5_1_11_2_27_19_72_526_0	0_5_1_11_2_27_19_72_526_0	0_5_1_11_2_27_19_72_526_0	PTU-Clo3	I
NC_019561.1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	circular	MOBP	-	-	-	No	18787	-	-	279	1_5_6_10_3_16_25_41_57_113_119_2	-	-	-	0_4_5_9_15_15_11_23_356_0	0_4_5_9_15_15_11_23_356_0	0_4_5_9_15_15_11_23_356_0	PTU-Cam2	II
NC_019562.1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	circular	-	-	-	-	No	2891	-	-	280	-	-	-	-	0_4_5_3_16_14_15_127_739_0	-	-	-	-
NC_020946.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7502	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020963.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7493	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020984.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7500	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020513.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7502	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_020961.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7471	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_92_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_477_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_018492.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	circular	-	-	-	-	No	218786	-	-	1148	-	-	-	-	0_5_1_11_2_20_1_67_721_3	-	-	-	-
NC_018493.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	circular	-	-	-	-	No	40993	-	-	1149	-	-	-	-	0_5_1_11_2_20_1_129_276_7	-	-	-	-
NC_018499.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	circular	-	-	-	-	No	36273	-	-	1150	-	-	-	-	0_5_1_11_2_20_1_100_808_5	-	-	-	-
NC_018494.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	circular	MOBV	-	-	-	No	3091	PTU-Bac34	II	1141	1_0_5_9_7_3_17_42_87_106_392_0	1_0_5_9_7_3_17_42_87_106_392_0	1_0_5_9_7_3_17_42_87_106_392_0	PTU-Bac34	0_4_5_3_16_14_44_157_34_1	0_4_5_3_16_14_44_157_34_1	0_4_5_3_16_14_44_157_34_1	PTU-Bac34	II
NC_021903.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	MOBP	-	-	-	No	15167	-	-	6	1_5_0_4_4_6_2_18_18_114_20_0	1_5_0_4_4_6_2_18_18_114_20_0	1_5_0_4_4_6_2_18_18_114_20_0	PTU-Lab19	0_5_1_6_5_25_42_21_637_0	0_5_1_6_5_25_42_21_637_0	0_5_1_6_5_25_42_21_637_0	PTU-Lab19	IV
NC_021904.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	MOBQ	-	-	-	No	39116	-	-	6	1_5_0_4_4_6_2_18_34_100_33_1	-	-	-	0_5_1_6_5_25_42_167_833_5	-	-	-	-
